USERID,PURCHASEDBOOKID
600003,"100013,100234,139809,152470,126326,166626,148036,112905,141325,145637"
600008,"102128,111171,166242,167442,153263,162878,110980,114726,111171,162878"
600011,"131196,128043,146841,107517,134396,138024,144871,153263,149233,125247"
600017,"100619,114726,114263,149151,114263,158378,155103,158378,158378,107923"
600020,"114726,155241,164687,144871,158208,113683,104141,164687,143156,127652"
600028,"144871,172264,166626,139128,168260,114263,155103,114263,148942,172457"
600031,"100013,104018,120912,115380,130931,145196,150177,113594,156578,114263"
600038,"142544,114263,166626,150780,166242,102522,170332,168509,113665,154932"
600043,"107249,121803,144871,139128,114726,114263,155103,172457,148942,158378"
600046,"100013,104726,103593,153263,102007,114263,107517,111171,102128,111171"
600052,"138830,114726,152470,119563,143596,152470,172457,155103,129218,114263"
600057,"103593,114263,166626,166626,173445,166242,114263,173445,149151,104141"
600061,"166086,101948,147915,128741,114263,105968,166626,149025,142213,107037"
600068,"166252,144850,163684,125606,112705,178013,168260,143156,172264,114726"
600072,"155730,114263,115842,117435,104910,145637,164687,146841,111171,144871"
600079,"100013,104868,166626,166242,114263,166242,104657,173264,114726,114263"
600081,"121868,114263,114263,114726,117386,164687,121803,125247,158378,114726"
600089,"100013,104901,132558,103593,158378,114263,127652,114263,114263,122668"
600090,"100013,111171,106797,147487,133525,103903,111171,153263,107517,111171"
600099,"121803,158378,158378,149151,114263,142213,114263,114263,150780,114726"
600102,"170332,114263,172457,114263,114263,170332,113522,155566,115556,101355"
600105,"155103,114263,114726,114263,158378,114263,149151,114263,158378,106876"
600114,"146060,112615,125247,100234,174622,164687,173445,138024,158174,128741"
600115,"127179,154932,111171,113665,104657,164687,166242,152470,162878,166242"
600122,"100013,111171,111171,162878,102128,107517,111171,103903,166242,153263"
600126,"139318,158378,149151,107037,114263,144871,121479,148942,122668,154932"
600133,"148036,114263,119563,172153,136490,107517,126326,166626,114726,105968"
600139,"168200,114263,153263,114726,179131,149151,121479,157507,100619,171961"
600141,"163038,155103,114263,172457,123203,112905,114263,155103,114726,114263"
600146,"100013,111171,111171,162878,102128,107517,111171,103903,166242,153263"
600152,"100013,111171,113665,107517,111171,167541,164687,109615,100234,141325"
600158,"100013,111171,113665,107517,111171,167541,164687,109615,100234,141325"
