USERID,PURCHASEDBOOKID
600008,"102128.0, 111171.0, 166242.0, 167442.0, 153263.0, 162878.0, 110980.0, 114726.0, 111171.0, 162878.0"
600011,"131196.0, 128043.0, 146841.0, 107517.0, 134396.0, 138024.0, 144871.0, 153263.0, 149233.0, 125247.0"
600017,"100619.0, 114726.0, 114263.0, 149151.0, 114263.0, 158378.0, 155103.0, 158378.0, 158378.0, 107923.0"
600020,"114726.0, 155241.0, 164687.0, 144871.0, 158208.0, 113683.0, 104141.0, 164687.0, 143156.0, 127652.0"
600028,"144871.0, 172264.0, 166626.0, 139128.0, 168260.0, 114263.0, 155103.0, 114263.0, 148942.0, 172457.0"
600038,"142544.0, 114263.0, 166626.0, 150780.0, 166242.0, 102522.0, 170332.0, 168509.0, 113665.0, 154932.0"
600043,"107249.0, 121803.0, 144871.0, 139128.0, 114726.0, 114263.0, 155103.0, 172457.0, 148942.0, 158378.0"
600052,"138830.0, 114726.0, 152470.0, 119563.0, 143596.0, 152470.0, 172457.0, 155103.0, 129218.0, 114263.0"
600057,"103593.0, 114263.0, 166626.0, 166626.0, 173445.0, 166242.0, 114263.0, 173445.0, 149151.0, 104141.0"
600061,"166086.0, 101948.0, 147915.0, 128741.0, 114263.0, 105968.0, 166626.0, 149025.0, 142213.0, 107037.0"
600068,"166252.0, 144850.0, 163684.0, 125606.0, 112705.0, 178013.0, 168260.0, 143156.0, 172264.0, 114726.0"
600072,"155730.0, 114263.0, 115842.0, 117435.0, 104910.0, 145637.0, 164687.0, 146841.0, 111171.0, 144871.0"
600081,"121868.0, 114263.0, 114263.0, 114726.0, 117386.0, 164687.0, 121803.0, 125247.0, 158378.0, 114726.0"
600099,"121803.0, 158378.0, 158378.0, 149151.0, 114263.0, 142213.0, 114263.0, 114263.0, 150780.0, 114726.0"
600102,"170332.0, 114263.0, 172457.0, 114263.0, 114263.0, 170332.0, 113522.0, 155566.0, 115556.0, 101355.0"
600105,"155103.0, 114263.0, 114726.0, 114263.0, 158378.0, 114263.0, 149151.0, 114263.0, 158378.0, 106876.0"
600114,"146060.0, 112615.0, 125247.0, 100234.0, 174622.0, 164687.0, 173445.0, 138024.0, 158174.0, 128741.0"
600115,"127179.0, 154932.0, 111171.0, 113665.0, 104657.0, 164687.0, 166242.0, 152470.0, 162878.0, 166242.0"
600126,"139318.0, 158378.0, 149151.0, 107037.0, 114263.0, 144871.0, 121479.0, 148942.0, 122668.0, 154932.0"
600133,"148036.0, 114263.0, 119563.0, 172153.0, 136490.0, 107517.0, 126326.0, 166626.0, 114726.0, 105968.0"
600139,"168200.0, 114263.0, 153263.0, 114726.0, 179131.0, 149151.0, 121479.0, 157507.0, 100619.0, 171961.0"
600141,"163038.0, 155103.0, 114263.0, 172457.0, 123203.0, 112905.0, 114263.0, 155103.0, 114726.0, 114263.0"
600169,"149246.0, 158378.0, 114263.0, 141325.0, 114263.0, 149455.0, 114263.0, 120912.0, 106876.0, 107517.0"
600174,"114263.0, 114726.0, 106876.0, 114726.0, 164687.0, 129937.0, 163038.0, 155103.0, 114726.0, 114263.0"
600175,"115556.0, 114263.0, 166242.0, 142213.0, 155103.0, 111171.0, 172457.0, 145637.0, 124003.0, 153263.0"
