,tactic_id,impression_pixel_json,StatusCodes,Status
0,333304,"https://ad.doubleclick.net/ddm/ad/N7676.791086DOUBLECLICKTECH.COM/B9352239.127304136;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""https://secure-gl.imrworldwide.com/cgi-bin/m?ci=nlsnci304&am=3&at=view&rt=banner&st=image&ca=nlsn32514&cr=crtve&pc=dcbm_plc0001&ce=dcbm&r=[timestamp]",200,OK
1,337773,"https://ad.doubleclick.net/ddm/trackimp/N2724.1852769TRIPLELIFT.COM/B9457112.128485014;dc_trk_aid=301461699;dc_trk_cid=66292004;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/32051?limit=1",200,OK
4,336385,https://ad.atdmt.com/i/img;p=11142202536676;a=11142202567402;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,200,OK
12,324588,"http://secure.insightexpressai.com/adServer/adServerESI.aspx?bannerID=474102&script=false&rnd=[INSERT_CACHEBUSTER_HERE]&redir=//secure.insightexpressai.com/adserver/1pixel.gif"",""http://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=19&mc=imp&pli=14074616&PluID=0&ord=[timestamp]&rtu=-1",200,OK
13,336827,https://ad.doubleclick.net/ddm/ad/N9407.127315CENTRO/B9321756.128822799;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
14,334313,"https://gap.sp1.convertro.com/view/vt/v1/gap/1/cvo.gif?cvosrc=display.akqa.68543819&cvo_cid=9398102&cvo_pid=128302847&cvo_adid=300956079&cvo_crid=68543819"",""https://ad.doubleclick.net/ddm/ad/N2949.1264338.TRIPLELIFTINC/B9398102.128302847;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/31509?limit=1",200,OK
20,337527,"https://ad.doubleclick.net/ddm/trackimp/N6036.1264338TRIPLELIFTINC/B9331301.129111521;dc_trk_aid=302394987;dc_trk_cid=69390039;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/33374?limit=1",200,OK
21,334386,"https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=19&mc=imp&pli=16422398&PluID=0&ord=[timestamp]&rtu=-1"",""https://magnetic.domdex.com/ahtm?mp=2&n=10804&c=105252&b=116445&sz=88x31&s=${REFERER_URL_ENC}&id=${AUCTION_ID}&a=${PRICE_PAID}",200,OK
23,325001,"http://pixel.adsafeprotected.com/rjss/st/28458/5303771/skeleton.js"",""http://adfarm.mediaplex.com/ad/tr/10445-61388-44771-308?mpt=[CACHEBUSTER]"",""http://h.nexac.com/e/a-1433/s-2834/c-469/g-3544.xgi?pkey=bijo15bijox40&chpcm=siteserved&chpsg=dp&chpcr=&chpck=&rand=RANDOM&chpth=10445-61388-44771-308",200,OK
25,334926,"https://ad.doubleclick.net/ddm/ad/N3577.2100704VIVAKI-TRIPLELIFT/B9428917.128765132;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/31751?limit=1",200,OK
30,338935,https://ad.doubleclick.net/ddm/trackimp/N2724.1264338TRIPLELIFTINC/B9289660.126448591;dc_trk_aid=299592702;dc_trk_cid=67479092;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
36,338258,"https://ad.doubleclick.net/ddm/ad/N3577.2100704VIVAKI-TRIPLELIFT/B9428917.130836202;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/31751?limit=1",200,OK
39,322538,https://ad.doubleclick.net/ddm/ad/N9317.152304.TRADINGDESK/B8689082.117982957;sz=1x1;ord=[timestamp]?,200,OK
40,334635,https://ad.doubleclick.net/ddm/trackimp/N4694.IPN346/B7979853.128634695;dc_trk_aid=301577740;dc_trk_cid=68916718;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
44,336910,https://ad.atdmt.com/i/img;p=11142202565631;a=11142203245028;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,200,OK
45,337891,https://ad.doubleclick.net/ddm/ad/N6049.1355588.DOUBLECLICK.COMBID/B9607545.130418178;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
48,335374,https://ad.atdmt.com/i/img;p=11142202565631;a=11142202567430;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,200,OK
49,330565,https://ad.doubleclick.net/ddm/ad/N8084.275383THEEXCHANGELAB/B9150230.124212633;sz=1x1;ord=${CACHEBUSTER},200,OK
51,327241,https://ad.doubleclick.net/ddm/trackimp/N30602.284566THETRADEDESK4/B9069372.122695792;dc_trk_aid=296344980;dc_trk_cid=65835138;ord=[timestamp]?,200,OK
52,327430,https://ad.doubleclick.net/ddm/ad/N7607.288332.ACCUEN/B8434063.119795762;sz=1x1;ord=[timestamp]?,200,OK
54,337863,https://ad.doubleclick.net/ddm/ad/N6049.1355588.DOUBLECLICK.COMBID/B9607545.130418725;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
58,332007,https://ad.doubleclick.net/ddm/ad/N5359.1264338TRIPLELIFTINC/B9308220.128636559;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
59,331138,"https://ad.doubleclick.net/ddm/trackimp/N5667.291800MAGNETICMEDIAONLINE/B8789332.125187595;dc_trk_aid=298197320;dc_trk_cid=66851683;ord=[timestamp]?"",""https://magnetic.domdex.com/ahtm?mp=12&n=9671&c=104736&b=114827&sz=88x31&s=${REFERER_URL_ENC}&id=${AUCTION_ID}&a=${PRICE_PAID}",200,OK
61,329109,https://ad.doubleclick.net/ddm/ad/N5664.132180.GAYADNETWORK/B8945681.121292516;sz=1x1;ord=[timestamp]?,200,OK
64,332426,https://ad.doubleclick.net/ddm/trackimp/N4827.150834TURN/B9333272.127018752;dc_trk_aid=300237155;dc_trk_cid=68021834;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
69,337628,https://ad.doubleclick.net/ddm/ad/N9724.288332ACCUEN/B9289668.130478160;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
71,334426,"https://ad.doubleclick.net/ddm/trackimp/N2724.1852769TRIPLELIFT.COM/B9457112.128485015;dc_trk_aid=301461699;dc_trk_cid=66292004;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/32051?limit=1",200,OK
73,336041,https://ad.doubleclick.net/ddm/ad/N6344.288332.ACCUEN/B9325076.129120123;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
77,335023,"https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=19&mc=imp&pli=16733543&PluID=0&ord=[timestamp]&rtu=-1"",""https://magnetic.domdex.com/ahtm?mp=2&n=10804&c=105252&b=116445&sz=88x31&s=${REFERER_URL_ENC}&id=${AUCTION_ID}&a=${PRICE_PAID}",200,OK
82,324374,https://ad.atdmt.com/i/img;p=11042207804727;a=11042207808555;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,200,OK
83,334429,"https://ad.doubleclick.net/ddm/ad/N7914.124997.GOOGLESEARCH/B9347243.127224266;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""https://adfarm.mediaplex.com/ad/tr/28835-220043-51702-0?mpt=[CACHEBUSTER]&dcid=127224266&devid=INSERT_DEVICE_ID_HERE",200,OK
85,325945,https://ad.doubleclick.net/ddm/ad/N6041.288332.ACCUEN/B8879990.121189122;sz=1x1;ord=[timestamp]?,200,OK
87,328742,https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=19&mc=imp&pli=15120784&PluID=0&ord=[timestamp]&rtu=-1,200,OK
88,327994,https://ad.doubleclick.net/ddm/trackimp/N4694.IPN385/B9086557.123239812;dc_trk_aid=296184825;dc_trk_cid=64313966;ord=[timestamp]?,200,OK
90,337188,https://ad.doubleclick.net/ddm/ad/N9407.127315CENTRO/B9334131.130360984;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
91,336482,https://ad.doubleclick.net/ddm/trackimp/N6036.1264338TRIPLELIFTINC/B9331301.129110726;dc_trk_aid=302440175;dc_trk_cid=69417544;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
92,322834,"https://secure.insightexpressai.com/adServer/adServerESI.aspx?bannerID=439881&script=false&redir=//secure.insightexpressai.com/adserver/1pixel.gif"",""http://servedby.flashtalking.com/imp/4/46838;1216004;201;pixel;ClearTrade;ClearTradeNativeMobileBlogHowtoStyleSlides1x1/?cachebuster=[CACHEBUSTER]""/>",200,OK
95,334606,https://ad.doubleclick.net/ddm/trackimp/N2724.1852769TRIPLELIFT.COM/B9457112.128485018;dc_trk_aid=301461582;dc_trk_cid=66292004;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
103,336396,https://ad.doubleclick.net/ddm/ad/N69702.279382DBMACCUEN398918777-/B9355888.128352167;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
104,337890,https://ad.doubleclick.net/ddm/ad/N6049.1355588.DOUBLECLICK.COMBID/B9607545.130418178;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
105,329337,"https://tag.researchnow.com/t/beacon?pr=7721&ca=9088505&pl=124414329&cr=&si=Triplelift&adn=3&tt=3&a=1"",""https://match.rundsp.com/witness/impression.gif?p=94274&a=65568",200,OK
106,330021,https://ad.doubleclick.net/ddm/ad/N6733.291508.ACCUENMEDIA.COM/B9097427.123495782;sz=1x1;ord=[timestamp]?,200,OK
111,336394,"https://ad.doubleclick.net/ddm/trackimp/N6036.1264338TRIPLELIFTINC/B9331301.129111520;dc_trk_aid=302397813;dc_trk_cid=69388968;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/33374?limit=1",200,OK
114,331951,https://ad.doubleclick.net/ddm/trackimp/N5622.1264338TRIPLELIFTINC/B8431096.124872448;dc_trk_aid=299485960;dc_trk_cid=67748135;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
118,332007,https://ad.doubleclick.net/ddm/ad/N5359.1264338TRIPLELIFTINC/B9308220.129740693;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
120,330086,https://ad.doubleclick.net/ddm/ad/N117602.288332ACCUEN/B9113231.124167383;sz=1x1;ord=[timestamp]?,200,OK
124,331452,"https://d.xp1.ru4.com/tad?_o=42032312&_t=dfa_%epid!&ssv_mmuid=%pmmuid=!;&ssv_mmaid=%pmmaid=!;&ssv_mmsid=%pmmsid=!;"",""https://ad.doubleclick.net/ddm/ad/N7657.226576DBM/B9270850.125851314;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?",200,OK
125,329842,https://ad.doubleclick.net/ddm/ad/N6451.668587.AODDISPLAY/B8571044.124478440;sz=1x1;ord=[timestamp]?,200,OK
126,330831,https://ad.doubleclick.net/ddm/ad/N8278.468584.AMNETGROUPINC./B9240911.125516243;sz=1x1,200,OK
128,337759,"https://ad.doubleclick.net/ddm/trackimp/N2724.1852769TRIPLELIFT.COM/B9457112.128485013;dc_trk_aid=301461693;dc_trk_cid=66292004;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/32057?limit=1",200,OK
129,339471,https://rover.ebay.com/ar/1/711-219464-1181-24/4?mpt=[CACHEBUSTER]&siteid=0&adtype=0&size=1x1&ipn=admain2&placement=442817&mpvc=,200,OK
130,339956,"https://ad.doubleclick.net/ddm/ad/N38206.1264338TRIPLELIFTINC/B9289656.130495670;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""https://log.dmtry.com/redir/1/2495/3850/1248590/0/1/160/0/971/1.ver?at=i&d=PxImp&img=1"",""http://tags.bluekai.com/site/33428?limit=1",200,OK
131,337682,"https://ad.doubleclick.net/ddm/trackimp/N2724.1264338TRIPLELIFTINC/B9430557.128236093;dc_trk_aid=301625719;dc_trk_cid=68947293;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/32065?limit=1",200,OK
132,327784,https://adfarm.mediaplex.com/ad/tr/24693-217020-26109-5?mpt=[CACHEBUSTER]&mpcs=bypass,200,OK
134,334928,"https://ad.doubleclick.net/ddm/ad/N3577.2100704VIVAKI-TRIPLELIFT/B9428917.128763284;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/31751?limit=1",200,OK
135,329401,https://ad.doubleclick.net/ddm/trackimp/N6029.1264338TRIPLELIFTINC/B9077025.124603630;dc_trk_aid=297510084;dc_trk_cid=66460545;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
138,335900,https://ad.atdmt.com/i/img;p=11042209573637;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,200,OK
139,327098,"https://ad.doubleclick.net/ddm/trackimp/N6643.133090.MEDIAMATH/B8990841.121609339;dc_trk_aid=295493525;dc_trk_cid=65341241;ord=[timestamp]?"",""https://sb.scorecardresearch.com/p?c1=3&c2=6035257&c3=8990841&c4=65341241&c5=121609339&c6=&c10=1&c11=1127122&c13=1x1&c16=gen&cj=1&ax_fwd=1&rn=[TIMESTAMP]&",200,OK
140,327940,https://ad.atdmt.com/i/img;p=11042207804726;a=11042207808554;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,200,OK
