id,average_cost_for_two,book_url,cuisines,currency,establishment_types__establishment_type__id,establishment_types__establishment_type__name,featured_image,has_online_delivery,has_table_booking,include_bogo_offers,is_book_form_web_view,is_delivering_now,is_table_reservation_supported,is_zomato_book_res,location__address,location__city,location__city_id,location__country_id,location__latitude,location__locality,location__locality_verbose,location__longitude,location__zipcode,medio_provider,mezzo_provider,name,offers,opentable_support,price_range,switch_to_order_menu,thumb,user_rating__custom_rating_text,user_rating__custom_rating_text_background,user_rating__rating_text,user_rating__rating_tool_tip,user_rating__votes,zomato_events,Zomato_user_rating
12415,45,,"Hyderabadi, Indian, Biryani",QR,21,Quick Bites,https://b.zmtcdn.com/data/res_imagery/6200083_RESTAURANT_c7b5126450a3715ef4a4e2feded2ba44.JPG,0,0,TRUE,0,0,0,0,"Opposite Vodafone Showroom, Al Whdaa Street, Musheireb, Doha",Doha,62,166,25.28138493,Musheireb,"Musheireb, Doha",51.52224451,,,OTHER,Jaal Restaurant Hyderabadi Spices,[],0,2,0,https://b.zmtcdn.com/data/res_imagery/6200083_RESTAURANT_c7b5126450a3715ef4a4e2feded2ba44.JPG?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Good,,66,,
11046,180,,"British, European, French",£,18,Fine Dining,https://b.zmtcdn.com/data/res_imagery/6113700_RESTAURANT_7131b754dbd86ac09c2823b75439a18d.JPG,0,0,TRUE,0,0,0,0,"127 Ledbury Road, Notting Hill, London W11 2AQ",London,61,215,51.516359,Notting Hill,Notting Hill,-0.200056,W11 2AQ,,OTHER,The Ledbury,[],0,4,0,https://b.zmtcdn.com/data/res_imagery/6113700_RESTAURANT_7131b754dbd86ac09c2823b75439a18d.JPG?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Excellent,,451,,
20304,400000,,"Western, Asian",IDR,5,Lounge,https://b.zmtcdn.com/data/res_imagery/7403145_RESTAURANT_40892e9be782d0fc4babaebbd67ea2c0.jpeg,0,0,TRUE,0,0,0,0,"Jl. Taman Kemang No. 19, Kemang, Jakarta",Jakarta,74,94,-6.25607714,Kemang,"Kemang, Jakarta",106.8102659,,,OTHER,Parc 19,[],0,4,0,https://b.zmtcdn.com/data/res_imagery/7403145_RESTAURANT_40892e9be782d0fc4babaebbd67ea2c0.jpeg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Very Good,,515,,
5423,85,,Japanese,$,5,Lounge,,0,0,TRUE,0,0,0,0,#01-02 Robertson Walk 237995,Singapore,52,184,1.2920478,"Clemenceau Avenue, Singapore River","Clemenceau Avenue, Singapore River, Singapore",103.8417031,237995,,OTHER,Orihara Liquor Shop & Bar,[],0,4,0,,,,Very Good,,0,,
30042,25,,"Soul Food, Bakery",$,31,Bakery,https://b.zmtcdn.com/data/res_imagery/8903604_RESTAURANT_883dae6096da2a47299fe11d379a51d3.JPG,0,0,TRUE,0,0,0,0,"Lawrence Plaza, 506 Lawrence Avenue West, North York M6A 1A1",Toronto,89,37,43.719036,"Lawrence Avenue West, North York","Lawrence Avenue West, North York, Toronto",-79.430987,M6A 1A1,,OTHER,United Bakers,[],0,1,0,https://b.zmtcdn.com/data/res_imagery/8903604_RESTAURANT_883dae6096da2a47299fe11d379a51d3.JPG?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Very Good,,50,,
19632,90,,"Brazilian, Bar Food",R$,7,Bar,,0,0,TRUE,0,0,0,0,"Rua do Lavradio, 192, Centro, Rio de Janeiro",Rio de Janeiro,73,30,-22.912975,Centro,"Centro, Rio de Janeiro",-43.18154167,,,OTHER,Bistrô da Lapa,[],0,3,0,,,,Average,,2,,
26317,3500,,"Czech, Mediterranean",Kč,18,Fine Dining,https://b.zmtcdn.com/data/res_imagery/16516425_RESTAURANT_986118baf64b00c1dbb4278b4bc151c4.jpg,0,0,TRUE,0,0,0,0,"U Trojského zámku 35, Troja, Praha 7",Praha 7,84,54,50.11709722,Troja,"Troja, Praha 7",14.41181389,,,OTHER,Svatá Klára,[],0,4,0,https://b.zmtcdn.com/data/res_imagery/16516425_RESTAURANT_986118baf64b00c1dbb4278b4bc151c4.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Not rated,,1,,
219,400,,"Chinese, North Indian",Rs.,16,Casual Dining,https://b.zmtcdn.com/data/res_imagery/3200243_RESTAURANT_b0783612fe7956512ca5084900609b12.jpg,1,0,TRUE,0,1,0,0,"1-Basement, R K Centre, Opposite Saffron Tower, Fatehgunj Main Road, Fatehgunj, Vadodara",Vadodara,32,1,22.31868812,Fatehgunj,"Fatehgunj, Vadodara",73.18777643,,,OTHER,Aangan Restaurant,[],0,2,0,https://b.zmtcdn.com/data/res_imagery/3200243_RESTAURANT_b0783612fe7956512ca5084900609b12.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Good,,148,,
7339,140,,"Emirati, Arabian, Middle Eastern",AED,16,Casual Dining,https://b.zmtcdn.com/data/reviews_photos/941/971eec9fbe62ef46846e7fedb1363941_1503943031.jpg,0,0,TRUE,0,0,0,0,"Opposite Mushrif Mall, Al Dhafra Street, Al Mushrif, Abu Dhabi",Abu Dhabi,57,214,24.43183748,Al Mushrif,"Al Mushrif, Abu Dhabi",54.41301372,,,OTHER,Saudi Kitchen,[],0,3,0,https://b.zmtcdn.com/data/reviews_photos/941/971eec9fbe62ef46846e7fedb1363941_1503943031.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A,,,Excellent,,184,,
11798,15,,Drinks Only,£,292,Beer Garden,,0,0,TRUE,0,0,0,0,"105 Stoke Newington Church Street, Stoke Newington, London N16 0UD",London,61,215,51.561508,"Stoke Newington Church Street, Stoke Newington","Stoke Newington Church Street, Stoke Newington, London",-0.081633,N16 0UD,,OTHER,The Auld Shillelagh,[],0,1,0,,,,Average,,2,,
